UID,State,Date Collected,Waterbody,Region,Province,SITESAMP,Ammonia (mg N/L),Chlorophyll A (ug/L),Dissolved Inorganic Nitrogen (mg N/L),Dissolved Inorganic Phosphate (mg P/L),Dissolved Silica (mg/L),Nitrate (mg N/L),Nitrate/Nitrite (mg N/L),Nitrite (mg N/L),Nitrogen Particulate (mg N/L),Phosphorus Particulate (mg P/L),Total Dissolved Nitrogen (mg N/L),Total Dissolved Phosphorus (mg P/L),Total Kjeldahl Nitrogen (mg N/L),Total Nitrogen (mg N/L),Total Phosphorus (mg P/L)
438,MI,2010-07-07,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.009,0.9,0.299,0.005,,,0.29,,,,,,,0.465,0.0036925
447,MI,2010-07-11,Lake Huron,Great Lakes,Great Lakes Province,Y,0.009,2.52,0.17,0.005,,,0.161,,,,,,,0.39375,0.00453625
448,MI,2010-07-08,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.01,0.88,0.274,0.005,,,0.264,,,,,,,0.44875,0.00474875
449,MI,2010-07-01,Lake Superior,Great Lakes,Great Lakes Province,Y,0.004,0.56,0.339,0.006,,,0.335,,,,,,,0.4375,0.00291625
450,MI,2010-06-16,Lake Erie,Great Lakes,Great Lakes Province,Y,0.067,2.86,0.423,0.015,,,0.356,,,,,,,0.5925,0.045025
451,MI,2010-06-30,Lake Huron,Great Lakes,Great Lakes Province,Y,0.008,0.95,0.163,0.006,,,0.155,,,,,,,0.353875,0.00704925
452,MI,2010-07-09,Lake Huron,Great Lakes,Great Lakes Province,Y,0.01,0.3,0.272,0.005,,,0.262,,,,,,,0.38125,0.00202375
453,MI,2010-07-01,Lake Huron,Great Lakes,Great Lakes Province,Y,0.009,1.11,0.162,0.004,,,0.153,,,,,,,0.3475,0.00485625
454,MI,2010-06-10,Lake Huron,Great Lakes,Great Lakes Province,Y,0.003,0.64,0.283,0.005,,,0.28,,,,,,,0.3475,0.0051175
455,MI,2010-07-09,Lake Huron,Great Lakes,Great Lakes Province,Y,0.01,0.32,0.268,0.005,,,0.258,,,,,,,0.37375,0.0
456,MI,2010-07-16,Lake Huron,Great Lakes,Great Lakes Province,Y,0.009,1.71,0.225,0.005,,,0.216,,,,,,,0.43375,0.00761125
457,MI,2010-07-10,Lake Huron,Great Lakes,Great Lakes Province,Y,0.006,4.48,0.186,0.006,,,0.18,,,,,,,0.475,0.009845
458,MI,2010-07-02,Lake Huron,Great Lakes,Great Lakes Province,Y,0.013,1.12,0.185,0.004,,,0.172,,,,,,,0.3475,0.00714125
459,MI,2010-07-15,Lake Huron,Great Lakes,Great Lakes Province,Y,0.01,3.35,0.151,0.005,,,0.141,,,,,,,0.3725,0.00612125
460,MI,2010-07-08,Lake Huron,Great Lakes,Great Lakes Province,Y,0.004,0.71,0.26,0.005,,,0.256,,,,,,,0.38,0.00342375
461,MI,2010-07-09,Lake Huron,Great Lakes,Great Lakes Province,Y,0.011,0.29,0.257,0.004,,,0.246,,,,,,,0.36125,0.0021325
462,MI,2010-06-11,Lake Huron,Great Lakes,Great Lakes Province,Y,0.011,1.65,0.216,0.003,,,0.205,,,,,,,0.3025,0.00330125
463,MI,2010-07-13,Lake Huron,Great Lakes,Great Lakes Province,Y,0.003,10.49,0.19,0.005,,,0.187,,,,,,,0.8425,0.01527625
464,MI,2010-07-10,Lake Huron,Great Lakes,Great Lakes Province,Y,0.009,0.94,0.21,0.006,,,0.201,,,,,,,0.365,0.0038375
465,MI,2010-07-14,Lake Huron,Great Lakes,Great Lakes Province,Y,0.004,0.92,0.234,0.004,,,0.23,,,,,,,0.39625,0.00273125
466,MI,2010-07-08,Lake Huron,Great Lakes,Great Lakes Province,Y,0.01,0.53,0.253,0.005,,,0.243,,,,,,,0.3875,0.0029725
467,MI,2010-07-07,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.007,0.5,0.221,0.003,,,0.214,,,,,,,0.38125,0.0036425
468,MI,2010-06-08,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.005,0.42,0.259,0.004,,,0.254,,,,,,,0.33625,0.005025
469,MI,2010-07-06,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.01,0.76,0.147,0.004,,,0.137,,,,,,,0.32125,0.00434875
471,MI,2010-07-07,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.007,0.3,0.227,0.006,,,0.22,,,,,,,0.37125,0.00338
472,MI,2010-06-07,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.006,0.23,0.188,0.003,,,0.182,,,,,,,0.27875,0.00422875
473,MI,2010-06-09,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.012,0.42,0.165,0.006,,,0.153,,,,,,,0.34,0.00656125
485,MI,2010-06-04,Lake Michigan,Great Lakes,Great Lakes Province,Y,0.003,0.23,0.218,0.004,,,0.215,,,,,,,0.29375,0.00291125
486,MI,2010-07-07,Lake Superior,Great Lakes,Great Lakes Province,Y,0.005,0.34,0.328,0.006,,,0.323,,,,,,,0.4225,0.00278625
487,MI,2010-07-07,Lake Superior,Great Lakes,Great Lakes Province,Y,0.002,0.34,0.332,0.005,,,0.33,,,,,,,0.41625,0.00278375
